Ort	Rechtswert	Hochwert	Hoehe
BrunoSanderHaus	680486	5237283	574
UniBruecke	680431	5237373	571
InnUfer	680673	5237581	572
Ottoburg	680888	5237756	574
Kongress	681084	5238077	573
FussgaengerBruecke	681205	5238313	573
Loewenhaus	681307	5238535	574
Holzbruecke	681515	5238860	573
Holzbruecke	681452	5238923	573
Kehre1	681547	5239049	588
Kehre2	681435	5239028	593
Kurve	681517	5239091	609
StationAlpenzoo	681485	5239239	635
AlpenzooParken	681415	5239148	643
AlpenzooEingang	681396	5239249	662
ImWald1	681426	5239359	676
ImWald2	681392	5239400	693
ImWald3	681367	5239383	701
imWald4	681364	5239427	715
imWald3	681355	5239497	741
erstesHaus	681152	5239454	816
Hauptstrasse	681210	5239591	842
Seilbahn	681413	5239735	858	
