680486.0 680431.0 105.475 m  105.475 m
680431.0 680673.0 319.105 m  424.580 m
680673.0 680888.0 277.218 m  701.798 m
680888.0 681084.0 376.108 m  1077.906 m
681084.0 681205.0 265.211 m  1343.117 m
681205.0 681307.0 244.311 m  1587.429 m
681307.0 681515.0 385.861 m  1973.290 m
681515.0 681452.0 89.095 m  2062.385 m
681452.0 681547.0 157.801 m  2220.186 m
681547.0 681435.0 113.952 m  2334.138 m
681435.0 681517.0 103.407 m  2437.545 m
681517.0 681485.0 151.420 m  2588.965 m
681485.0 681415.0 114.809 m  2703.773 m
681415.0 681396.0 102.772 m  2806.545 m
681396.0 681426.0 114.018 m  2920.562 m
681426.0 681392.0 53.263 m  2973.826 m
681392.0 681367.0 30.232 m  3004.058 m
681367.0 681364.0 44.102 m  3048.160 m
681364.0 681355.0 70.576 m  3118.737 m
681355.0 681152.0 207.504 m  3326.241 m
681152.0 681210.0 148.772 m  3475.012 m
681210.0 681413.0 248.888 m  3723.900 m
