Altitude[m]	Temperature[Deg. Celsius]
2653.496	0.538
1673.453	9.482
893.112	16.907
1587.226	12.270
545.414	18.219
556.331	17.036
1290.897	14.189
2880.346	3.148
1080.886	12.500
2949.319	-2.424
901.572	10.092
1808.368	8.816
2489.044	5.448
1193.703	11.430
2408.277	4.956
1858.765	8.561
1692.237	8.133
1529.493	9.290
2248.492	8.420
1004.168	17.590
1228.308	6.379
2490.581	8.675
2279.336	8.511
2052.082	9.505
2391.813	3.175
612.074	15.522
2118.262	5.808
2065.216	12.422
677.537	19.684
2530.482	2.902
1847.501	2.245
2820.104	1.888
2913.690	1.718
631.666	21.417
2138.302	8.807
1726.465	8.678
2144.358	2.932
2260.187	4.032
1062.564	16.766
1851.511	8.262
1852.659	-0.681
1619.887	9.875
2121.935	5.185
569.529	20.389
775.731	16.454
2687.662	8.057
2341.304	5.480
1951.264	7.723
817.777	20.628
1048.417	13.352
1152.843	15.750
968.670	16.289
1795.088	9.984
2639.734	5.384
1495.004	16.635
886.297	17.371
1087.016	12.726
1086.799	14.559
744.774	15.764
1189.979	13.865
2366.240	10.961
2145.323	9.759
844.551	17.829
747.445	12.909
2951.394	0.430
680.680	18.704
1666.523	14.665
2465.300	2.845
1803.530	9.030
1157.439	9.287
786.388	25.170
2051.203	8.000
1672.591	14.119
510.195	20.097
1832.674	8.306
2495.399	3.188
2622.353	4.548
1451.325	14.383
2269.131	2.312
2145.105	7.951
2947.361	7.492
505.212	13.949
1702.276	11.905
1163.289	13.066
1837.986	13.057
1314.619	13.706
1608.020	9.449
1712.147	12.768
1441.758	12.029
1273.889	13.709
1773.773	10.896
1005.205	13.359
1626.319	10.664
2404.081	6.669
761.079	18.789
1310.717	11.119
1786.012	7.639
2114.872	5.839
2541.085	4.755
2545.112	5.130
1834.814	16.973
2014.462	6.566
2102.125	10.819
549.665	16.330
2135.214	7.992
1049.511	18.138
2267.599	6.632
2303.629	4.604
1131.911	15.899
2562.151	5.524
2651.847	-4.084
2436.159	2.075
1732.573	10.149
1875.001	10.959
940.032	12.625
2818.054	4.646
1607.820	12.561
1972.499	12.143
2138.654	6.721
797.292	15.624
1787.045	5.295
1485.432	12.756
1950.042	6.241
2047.807	3.367
1338.310	12.656
2002.663	8.654
1476.521	10.040
1783.240	10.023
985.167	12.867
2054.541	3.944
1579.994	17.461
1313.264	12.256
2358.851	3.668
2883.328	1.070
1501.809	13.036
2698.771	5.812
1938.859	9.663
1153.242	14.087
1752.114	9.287
1386.953	14.829
2563.944	-1.023
2283.765	9.763
768.243	18.101
1797.014	9.951
1351.542	7.812
963.084	16.105
745.720	14.711
2049.396	6.941
781.235	18.751
1404.919	12.548
2533.522	0.454
2961.714	1.219
2369.159	7.955
1191.225	13.831
2815.591	4.130
1766.389	10.836
1331.862	10.873
2357.688	7.202
2632.384	3.189
850.473	11.427
2569.272	3.046
2142.255	7.023
1815.693	13.483
2224.754	7.208
890.305	18.216
2158.190	3.961
2227.924	7.086
1385.524	14.871
1963.846	4.753
2302.919	4.429
1843.076	14.282
909.357	13.941
1285.573	15.458
1249.499	12.289
2259.823	6.316
2448.555	3.340
1685.820	11.968
2380.473	3.940
787.949	14.870
2738.899	1.030
2529.466	3.793
2828.804	1.928
2674.973	5.645
1122.156	14.434
2718.864	1.783
2151.850	6.478
1954.498	7.574
2537.916	3.969
1202.399	15.333
2649.617	0.026
2939.369	5.917
2322.327	4.428
1370.581	17.387
2720.777	1.349
901.143	14.927
1145.762	12.682
1389.194	11.591
550.900	16.023
908.088	11.527
980.120	17.770
908.870	8.229
2707.821	8.144
2318.335	6.758
2596.190	3.379
2699.910	8.086
1604.620	9.373
1284.682	15.322
2836.630	3.711
1578.281	11.219
2134.930	8.311
